"collision_date","day","year","mo","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","co2","wind","so2","pressure","season","visib_7day_ma","wdsp_7day_ma","co2_7day_ma","so2_7day_ma","pressure_7day_ma","temp_7day_ma","wind_7day_ma","visib_30day_ma","wdsp_30day_ma","co2_30day_ma","so2_30day_ma","pressure_30day_ma","temp_30day_ma","wind_30day_ma","temp_visib_interaction","wdsp_visib_interaction","prcp_temp_interaction","temp_season_interaction","wdsp_wind_interaction"
2012-07-01,7,2012,7,83.6,63,1008.9,9.7,4.1,9.9,18.1,93,66,0,0,538,14.589583,134.9135415,3.965625,999.4416664,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810.92,39.77,0,167.2,553.14552015
2012-07-02,1,2012,7,80.3,54.1,1011.6,10,3.8,15,18.1,88,66.9,0,0,564,13.74375,143.53125,1.26458325,1002.3106062,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,38,0,160.6,545.41875
2012-07-03,2,2012,7,79.8,56.7,1012.8,10,2.9,12,18.1,88,63,0,0,664,17.1375905,124.85520825,1.76473225,1002.4833332,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,29,0,159.6,362.080103925
2012-07-04,3,2012,7,81.8,65.6,1009.1,9.2,3.6,11.1,18.1,91,68,0.06,0,432,12.175,125.920833,1.90208325,998.5333334,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752.56,33.12,4.908,163.6,453.3149988
2012-07-05,4,2012,7,86.7,64.3,1007.4,9.4,3.8,15,18.1,93.9,70,99.99,0,591,11.2875,126.29375,1.24375,998.075,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814.98,35.72,8669.133,173.4,479.91625
2012-07-06,5,2012,7,81.9,62.3,1011.7,10,3.1,9.9,18.1,91,66.9,0,0,638,15.7213815,81.2072915,1.1229165,1002.1083334,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,31,0,163.8,251.74260365
2012-07-07,6,2012,7,84.9,65.9,1010.1,9.5,3.1,14,17.1,95,70,0,0,490,14.5833335,131.101087,1.778125,1000.05,2,9.68571428571429,3.48571428571429,14.1768769285714,1.86311646428571,1000.42889608571,82.7142857142857,123.97470875,NA,NA,NA,NA,NA,NA,NA,806.55,29.45,0,169.8,406.4133697
2012-07-08,7,2012,7,80.6,65.5,1010.1,8.5,3.1,8,15.9,90,70,0.59,0,464,9.9,103.1708335,0.81145825,1000.5416666,2,9.51428571428571,3.34285714285714,13.5069365,1.41252121428571,1000.58603897143,82.2857142857143,119.440036178571,NA,NA,NA,NA,NA,NA,NA,685.1,26.35,47.554,161.2,319.82958385
2012-07-09,1,2012,7,78.5,56.8,1012.7,10,3.5,9.9,15.9,84,68,0.09,0,533,10.2604165,67.3208335,0.67150975,1003.6416666,2,9.51428571428571,3.3,13.0093174285714,1.32779642857143,1000.77619045714,82.0285714285714,108.552833821429,NA,NA,NA,NA,NA,NA,NA,785,35,7.065,157,235.62291725
2012-07-10,2,2012,7,76.5,56.3,1016,10,3.4,9.9,15.9,86,61,0,0,524,12.8333335,75.0979165,1.0590775,1007.1976188,2,9.51428571428571,3.37142857142857,12.3944235714286,1.22698860714286,1001.44965982857,81.5571428571428,101.444649285714,NA,NA,NA,NA,NA,NA,NA,765,34,0,153,255.3329161
2012-07-11,3,2012,7,77.1,62,1019.9,10,1.9,7,15.9,84,64.9,0,0,565,13.580357,76.81354175,0.97934775,1011.308333,2,9.62857142857143,3.12857142857143,12.5951888571429,1.09516925,1003.27465977143,80.8857142857143,94.4293219642857,NA,NA,NA,NA,NA,NA,NA,771,19,0,154.2,145.945729325
2012-07-12,4,2012,7,77.4,60.2,1021.7,10,2.3,7,15.9,88,57,0,0,577,17.158333,94.1635415,1.46458325,1012.4833332,2,9.71428571428571,2.91428571428571,13.4338792857143,1.12671685714286,1005.33299308571,79.5571428571428,89.8392921785714,NA,NA,NA,NA,NA,NA,NA,774,23,0,154.8,216.57614545
2012-07-13,5,2012,7,78.9,60.7,1021.8,9.9,3,7,15.9,87.1,63,0,0,603,22.802083,97.2177085,2.2177085,1012.5333334,2,9.7,2.9,14.4454080714286,1.28311571428571,1006.8222788,79.1285714285714,92.1264946071429,NA,NA,NA,NA,NA,NA,NA,781.11,29.7,0,157.8,291.6531255
2012-07-14,6,2012,7,78.5,62.7,1021.6,10,3.5,13,19,82,68,0,1,536,14.9458335,124.291667,1.5302085,1012.3833334,2,9.77142857142857,2.95714285714286,14.4971937857143,1.24769907142857,1008.58418357143,78.2142857142857,91.1537203214286,NA,NA,NA,NA,NA,NA,NA,785,35,0,157,435.0208345
2012-07-15,7,2012,7,79.7,68.6,1018.3,9.1,2.8,13,19,87.1,70,0,0,494,12.8395835,104.73541675,1.61770825,1007.851316,2,9.85714285714286,2.91428571428571,14.9171342857143,1.36287764285714,1009.6284192,78.0857142857143,91.3772322142857,NA,NA,NA,NA,NA,NA,NA,725.27,25.48,0,159.4,293.2591669
2012-07-16,1,2012,7,79,67.9,1011.5,9.2,4,14,22,91,70,0.26,0,528,12.959964,146.78437475,1.33958325,1001.1318184,2,9.74285714285714,2.98571428571429,15.3027839285714,1.45831671428571,1009.26986945714,78.1571428571429,102.729166678571,NA,NA,NA,NA,NA,NA,NA,726.8,36.8,20.54,158,587.137499
2012-07-17,2,2012,7,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70,0,0,648,17.7916665,124.678125,1.96666675,999.2583332,2,9.65714285714286,3,16.0111172142857,1.58797232142857,1008.1356858,79.3142857142857,109.812053607143,NA,NA,NA,NA,NA,NA,NA,795.24,32.9,0,169.2,436.3734375
2012-07-18,3,2012,7,85.3,69.1,1008.9,7.2,3.7,13,20,100,73,0,1,559,24.211623,109.0802085,2.504762,999.8439396,2,9.25714285714286,3.25714285714286,17.5298695,1.80588864285714,1006.49791531429,80.4857142857143,114.421577428571,NA,NA,NA,NA,NA,NA,NA,614.16,26.64,0,170.6,403.59677145
2012-07-19,4,2012,7,73.3,67.2,1013.2,7.5,3.4,15,18.1,75.9,68,1.76,0,522,14.2416665,58.7394887500001,1.10208325,1004.2833332,2,8.9,3.41428571428571,17.1132028571429,1.75410292857143,1005.32648674286,79.9,109.360998464286,NA,NA,NA,NA,NA,NA,NA,549.75,25.5,129.008,146.6,199.71426175
2012-07-20,5,2012,7,67.2,62.8,1014.9,7.4,6.5,13,21,73.9,61,0.17,0,604,11.225,33.30625025,0.4260415,1006.6000002,2,8.54285714285714,3.91428571428571,15.4593338571429,1.4981505,1004.47886771429,78.2285714285714,100.230790142857,NA,NA,NA,NA,NA,NA,NA,497.28,48.1,11.424,134.4,216.490626625
2012-07-21,6,2012,7,68.1,58.5,1018.3,9.8,4.1,12,21,77,57.9,0.43,0,528,8.9416665,56.7354165,0.671875,1009.3083332,2,8.51428571428571,4,14.6015957142857,1.37553142857143,1004.03958197143,76.7428571428571,90.5798972142857,NA,NA,NA,NA,NA,NA,NA,667.38,40.18,29.283,136.2,232.61520765
2012-07-22,7,2012,7,72.5,59.4,1020.3,10,2,8,21,82,54,0,0,498,12.6,89.76666675,1.3489585,1011.1166666,2,8.64285714285714,3.88571428571429,14.5673695,1.33713860714286,1004.50606062857,75.7142857142857,88.4415043571429,NA,NA,NA,NA,NA,NA,NA,725,20,0,145,179.5333335
2012-07-23,1,2012,7,76,67.2,1016.9,8.9,3,13,21,86,64,0,0,505,20.2733335,99.3854165,1.902851,1005.619697,2,8.6,3.74285714285714,15.6121365714286,1.41760542857143,1005.14718614286,75.2857142857143,81.6702246071429,NA,NA,NA,NA,NA,NA,NA,676.4,26.7,0,152,298.1562495
2012-07-24,2,2012,7,80.3,67.3,1005.4,8.1,6,15,18.1,90,70,0.15,0,574,13.8208335,139.84374975,1.73645825,994.9583332,2,8.41428571428571,4.1,15.0448747142857,1.3847185,1004.53290042857,74.6714285714286,83.8367424285714,NA,NA,NA,NA,NA,NA,NA,650.43,48.6,12.045,160.6,839.0624985
2012-07-25,3,2012,7,76.5,53.5,1009.7,10,4.2,19,18.1,84.9,66.9,0,0,612,12.7270835,136.24583325,0.98645825,1000.6583332,2,8.81428571428571,4.17142857142857,13.4042262142857,1.16781796428571,1004.64924237143,73.4142857142857,87.7175459642857,NA,NA,NA,NA,NA,NA,NA,765,42,0,153,572.23249965
2012-07-26,4,2012,7,78,62.4,1007,8.9,4.3,13,29.9,87.1,66.9,0,1,604,19.352083,117.27152775,1.94375,996.6000002,2,9.01428571428571,4.3,14.1342857142857,1.28805607142857,1003.55162337143,74.0857142857143,96.0792658214285,NA,NA,NA,NA,NA,NA,NA,694.2,38.27,0,156,504.267569325
2012-07-27,5,2012,7,76.6,69.3,1007,9.1,4.4,14,29.9,87.1,70,0.6,0,637,15.7708335,127.1583335,1.409375,998.3833334,2,9.25714285714286,4,14.7836905,1.42853228571429,1002.37781382857,75.4285714285714,109.486706285714,NA,NA,NA,NA,NA,NA,NA,697.06,40.04,45.96,153.2,559.4966674
2012-07-28,6,2012,7,75.5,69.6,1012.2,7,3.9,8,15.9,84,68,0,1,513,8.122917,29.6229165,0.31875,1003.2166668,2,8.85714285714286,3.97142857142857,14.6667262857143,1.37808585714286,1001.50757577143,76.4857142857143,105.613492,NA,NA,NA,NA,NA,NA,NA,528.5,27.3,0,151,115.52937435
2012-07-29,7,2012,7,71.7,66.1,1015.1,9.4,3.2,12,15.9,79,66.9,0.18,0,376,8.28125000000001,31.460417,0.465625,1006.125,2,8.77142857142857,4.14285714285714,14.049762,1.25189535714286,1000.79448054286,76.3714285714286,97.28402775,NA,NA,NA,NA,NA,NA,NA,673.98,30.08,12.906,143.4,100.6733344
2012-07-30,1,2012,7,73.1,65.1,1018.6,10,2.2,8.9,15.9,79,64.9,0.01,0,530,8.584668,63.88293275,0.44833325,1009.7833332,2,8.92857142857143,4.02857142857143,12.3799526428571,1.04410710714286,1001.38928571429,75.9571428571429,92.2122443571428,9.24,3.54333333333333,14.0820889,1.39883293333333,1003.9276665,78.13,99.1532025916667,731,22,0.731,146.2,140.54245205
2012-07-31,2,2012,7,73.4,64.3,1016.7,10,3.8,14,15.9,80.1,60.1,0,0,540,11.01875,50.05520825,0.509375,1006.5280302,2,9.2,3.71428571428571,11.979655,0.8688095,1003.04209957143,74.9714285714286,79.3853098571428,9.25,3.53333333333333,13.9630611333333,1.2836246,1004.16387862667,77.79,96.3245914833333,734,38,0,146.8,190.20979135
2012-08-01,3,2012,8,72.2,68.4,1012.4,7.8,2.5,9.9,15.9,78.1,66.9,0.55,1,615,22.0208335,87.860764,0.99270825,809.9833334,2,8.88571428571428,3.47142857142857,13.3073335714286,0.869702357142857,975.802813885714,74.3571428571429,72.4731571071428,9.17666666666667,3.49,14.2389639166667,1.2745621,997.752969533333,77.52,94.4689086166667,563.16,19.5,39.71,144.4,219.65191
2012-08-02,4,2012,8,75,68.4,1011.3,6.2,2.7,11.1,15.9,87.1,66.2,0.11,1,570,24.95625,105.51458325,1.9635415,810,2,8.5,3.24285714285714,14.1079288571429,0.872529714285714,949.145671,73.9285714285714,70.7935936071429,9.05,3.48333333333333,14.4995859,1.281189075,991.336858426667,77.36,93.8242211166667,465,16.74,8.25,150,284.889374775
2012-08-03,5,2012,8,77.9,70.8,1015.3,6,4.4,13,18.1,89.1,69.1,0,1,589,20.0458335,98.2010415,1.5114585,813.875,2,8.05714285714286,3.24285714285714,14.7186431428571,0.887113071428572,922.787337657143,74.1142857142857,66.6568376071429,8.94333333333333,3.51,14.7619470166667,1.26816825,985.181580646667,77.23,92.9002280666667,467.4,26.4,0,155.8,432.0845826
2012-08-04,6,2012,8,77.9,71.7,1021.1,5.7,4.1,11.1,18.1,90,71.1,0,1,568,12.152083,86.1770835,1.5729165,818.4833332,2,7.87142857142857,3.27142857142857,15.2942382857143,1.06627971428571,896.396861428571,74.4571428571429,74.7360043214286,8.82,3.52,14.79076645,1.27914046666667,979.195191753333,76.9366666666667,91.56300585,444.03,23.37,0,155.8,353.32604235
2012-08-05,7,2012,8,78.1,72.4,1019.7,5.8,6.1,15,22.9,91,69.1,0,1,518,7.7125,97.7302085,0.54375,815.4916664,2,7.35714285714286,3.68571428571429,15.2129882857143,1.07744042857143,869.163528057143,75.3714285714286,84.2031173928572,8.68,3.62,14.5238037333333,1.25983491666667,972.974636186667,76.81,92.11376975,452.98,35.38,0,156.2,596.15427185
2012-08-06,1,2012,8,77.3,66.9,1015.7,8.9,5.5,15,22,86,71.1,0.49,0,593,11.6770835,148.46354175,1.03645825,813.169697,2,7.2,4.15714285714286,15.6547619285714,1.16145828571429,841.075865742857,75.9714285714286,96.2860615357143,8.66,3.7,14.4269287333333,1.23511269166667,966.745292753333,76.5566666666667,92.6925182416667,687.97,48.95,37.877,154.6,816.549479624999
2012-08-07,2,2012,8,75.2,58.1,1015.7,10,1.2,9.9,22,82.9,63,0.01,0,547,17.2125,72.24583325,1.072658,813.2858696,2,7.2,3.78571428571429,16.5395833571429,1.24192728571429,813.4698428,76.2285714285714,99.4561508214286,8.71,3.63666666666667,14.6706787333333,1.24381935,960.503432853333,76.3766666666667,91.6616849,752,12,0.752,150.4,86.6949999
2012-08-08,3,2012,8,77.8,67.1,1014.7,8.8,1.1,8,22,86,64,0,0,528,20.00375,77.3989585,1.465625,812.4833334,2,7.34285714285714,3.58571428571429,16.2514285714286,1.30948682142857,813.826985657143,77.0285714285714,97.9616071785714,8.67,3.55666666666667,14.9954565166667,1.27028985833333,954.131488413333,76.3533333333333,91.9976224,684.64,9.68,0,155.6,85.13885435
2012-08-09,4,2012,8,78.2,69.6,1013.6,9.3,2.3,7,15,88,61,0,0,581,14.2479165,89.621875,1.3089285,811.220238,2,7.78571428571429,3.52857142857143,14.7216666428571,1.21597067857143,814.001305371429,77.4857142857143,95.6912202857143,8.64666666666667,3.52,15.0426092833333,1.278618225,947.598909053333,76.41,92.48175435,727.26,21.39,0,156.4,206.1303125
